provincia;fecha;confirmados;recuperados;fallecidos;internados;uti;en estudio;aislados;estudiados;descartados
Buenos Aires;28/4/2020;1429;265;80;;;;;;
Ciudad de Buenos Aires;28/4/2020;1089;360;80;794;;5092;;;
Chaco;29/4/2020;312;105;14;;3;216;;;2208
C¢rdoba;28/4/2020;279;100;14;62;5;373;;6416;5987
Santa Fe;27/4/2020;243;136;2;;;;;;
R¡o Negro;29/4/2020;206;49;8;;;;;;
Tierra del Fuego;27/4/2020;137;69;0;;1;37;;;747
Neuqu‚n;28/4/2020;108;28;5;;;;;;
Mendoza;28/4/2020;76;28;9;;;;;;
La Rioja;28/4/2020;52;13;6;;;;;;
Santa Cruz;29/4/2020;48;32;0;;;;;;213
Corrientes;29/4/2020;48;27;0;;1;10;2081;;
Tucum n;27/4/2020;36;14;4;;;;;1144;
Entre R¡os;28/4/2020;24;13;0;;1;;;534;
Santiago del Estero;25/4/2020;12;5;0;;;;218;;119
San Luis;28/4/2020;11;7;0;;;;239;;
Misiones;29/4/2020;12;2;1;;;;;451;
Jujuy;28/4/2020;5;4;0;;;1;1454;110;104
La Pampa;28/4/2020;5;5;0;;;;1867;106;101
Salta;23/4/2020;4;3;0;;;5;;154;128
Chubut;29/4/2020;2;2;0;;;7;1839;;86
San Juan;28/4/2020;2;2;0;;;;364;;9
Catamarca;28/4/2020;0;0;0;;;;;;
Formosa;28/4/2020;0;0;0;;;;;;
